Year,LapNumber,LapTimeSeconds,Compound,Circuit,Driver,TrackLengthM,TyreLife,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapTimePerKm
2024,14.0,79.723,MEDIUM,monaco,VER,3337,13.0,,,,,,,,,23.890620317650583
2024,18.0,79.58,MEDIUM,monaco,VER,3337,17.0,,,,,,,,,23.84776745579862
2024,23.0,78.979,MEDIUM,monaco,VER,3337,22.0,,,,,,,,,23.667665567875336
2024,24.0,79.364,MEDIUM,monaco,VER,3337,23.0,,,,,,,,,23.783038657476776
2024,25.0,79.38,MEDIUM,monaco,VER,3337,24.0,,,,,,,,,23.78783338327839
2024,26.0,78.818,MEDIUM,monaco,VER,3337,25.0,,,,,,,,,23.61941863949655
2024,27.0,78.797,MEDIUM,monaco,VER,3337,26.0,,,,,,,,,23.613125561881926
2024,28.0,78.682,MEDIUM,monaco,VER,3337,27.0,,,,,,,,,23.5786634701828
2024,29.0,78.795,MEDIUM,monaco,VER,3337,28.0,,,,,,,,,23.612526221156728
2024,30.0,78.574,MEDIUM,monaco,VER,3337,29.0,,,,,,,,,23.546299071021874
2024,31.0,78.564,MEDIUM,monaco,VER,3337,30.0,,,,,,,,,23.54330236739586
2024,32.0,78.983,MEDIUM,monaco,VER,3337,31.0,,,,,,,,,23.668864249325743
2024,33.0,79.005,MEDIUM,monaco,VER,3337,32.0,,,,,,,,,23.675456997302962
2024,34.0,79.594,MEDIUM,monaco,VER,3337,33.0,,,,,,,,,23.851962840875036
2024,36.0,79.634,MEDIUM,monaco,VER,3337,35.0,,,,,,,,,23.86394965537908
2024,37.0,79.429,MEDIUM,monaco,VER,3337,36.0,,,,,,,,,23.802517231045847
2024,38.0,78.844,MEDIUM,monaco,VER,3337,37.0,,,,,,,,,23.62721006892418
2024,39.0,78.326,MEDIUM,monaco,VER,3337,38.0,,,,,,,,,23.47198082109679
2024,40.0,78.409,MEDIUM,monaco,VER,3337,39.0,,,,,,,,,23.49685346119269
2024,41.0,78.083,MEDIUM,monaco,VER,3337,40.0,,,,,,,,,23.399160922984716
2024,42.0,78.074,MEDIUM,monaco,VER,3337,41.0,,,,,,,,,23.396463889721304
2024,43.0,78.358,MEDIUM,monaco,VER,3337,42.0,,,,,,,,,23.48157027270003
2024,44.0,78.405,MEDIUM,monaco,VER,3337,43.0,,,,,,,,,23.49565477974228
2024,45.0,78.313,MEDIUM,monaco,VER,3337,44.0,,,,,,,,,23.46808510638298
2024,46.0,78.203,MEDIUM,monaco,VER,3337,45.0,,,,,,,,,23.435121366496855
2024,47.0,78.537,MEDIUM,monaco,VER,3337,46.0,,,,,,,,,23.535211267605636
2024,48.0,78.337,MEDIUM,monaco,VER,3337,47.0,,,,,,,,,23.475277195085404
2024,49.0,78.477,MEDIUM,monaco,VER,3337,48.0,,,,,,,,,23.517231045849567
2024,50.0,78.88,MEDIUM,monaco,VER,3337,49.0,,,,,,,,,23.637998201977823
2024,51.0,78.142,MEDIUM,monaco,VER,3337,50.0,,,,,,,,,23.41684147437818
2024,53.0,78.724,HARD,monaco,VER,3337,2.0,,,,,,,,,23.591249625412047
