Parameter,Estimate,Std Error,T-Statistic,P-Value
Intercept,16.272638927435242,0.042516400295551766,382.73792734842016,0.0
C(Circuit)[T.australia],-2.0544102248919556,0.031128367969727348,-65.99800628448912,0.0
C(Circuit)[T.azerbaijan],0.9949372114050024,0.03157390858040526,31.51137303357049,6.068373427993938e-218
C(Circuit)[T.belgium],-1.2862741551000565,0.03693648695656466,-34.82394404786374,1.0561082193467676e-265
C(Circuit)[T.emiliaromagna],0.9814238186855966,0.032657826007244484,30.051719256140547,2.0732508231442712e-198
C(Circuit)[T.japan],-0.9384667598670229,0.033735116934567884,-27.818689992604995,2.5777627318203422e-170
C(Circuit)[T.mexico],2.2550037797231886,0.028671541755280947,78.64954730967142,0.0
C(Circuit)[T.monaco],6.704383056461001,0.031377844372986165,213.66614534658547,0.0
C(Circuit)[T.netherlands],0.8799833375251058,0.03003976735432004,29.293946492516852,1.2386384409445793e-188
C(Circuit)[T.saudiarabia],-1.7681367209217749,0.03219135903241117,-54.925817799166694,0.0
C(Circuit)[T.unitedkingdom],-0.0050920358889874505,0.031534385516982656,-0.16147566554753903,0.8717187759146136
C(Year)[T.2022],0.7930577873347548,0.02136563590260613,37.118379764115495,1.4196732330575318e-301
C(Year)[T.2023],1.223208185428326,0.02026463939973001,60.361705002489366,0.0
C(Year)[T.2024],0.6061697284550853,0.02052428508456141,29.53426762284903,1.0458030235013836e-191
C(Compound)[T.INTERMEDIATE],2.3115190462032134,0.07239170181965453,31.930718412474594,1.0007485791245544e-223
C(Compound)[T.MEDIUM],0.024761781754374913,0.015548927020992049,1.5925074264574604,0.11127073577680759
C(Compound)[T.SOFT],0.24543252098625162,0.024320448177604304,10.09161176611294,6.017327099044522e-24
C(Compound)[T.WET],3.0741751302819136,0.6476683253722089,4.746526902508648,2.0693921163702447e-06
Group Var,0.013404809359446133,0.006635011115021704,2.020314529556336,0.04335077264233174
