Year,LapNumber,LapTimeSeconds,Compound,Circuit,Driver,TrackLengthM,TyreLife,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2024,2.0,86.17,HARD,monaco,VER,3337,2.0,,,,,,,,
2024,3.0,85.855,HARD,monaco,VER,3337,3.0,,,,,,,,
2024,4.0,85.633,HARD,monaco,VER,3337,4.0,,,,,,,,
2024,5.0,85.218,HARD,monaco,VER,3337,5.0,,,,,,,,
2024,6.0,85.096,HARD,monaco,VER,3337,6.0,,,,,,,,
2024,7.0,85.042,HARD,monaco,VER,3337,7.0,,,,,,,,
2024,8.0,84.918,HARD,monaco,VER,3337,8.0,,,,,,,,
2024,9.0,85.05,HARD,monaco,VER,3337,9.0,,,,,,,,
2024,10.0,84.964,HARD,monaco,VER,3337,10.0,,,,,,,,
2024,11.0,84.978,HARD,monaco,VER,3337,11.0,,,,,,,,
2024,12.0,84.968,HARD,monaco,VER,3337,12.0,,,,,,,,
2024,13.0,84.957,HARD,monaco,VER,3337,13.0,,,,,,,,
2024,14.0,85.287,HARD,monaco,VER,3337,14.0,,,,,,,,
2024,15.0,85.746,HARD,monaco,VER,3337,15.0,,,,,,,,
2024,16.0,85.244,HARD,monaco,VER,3337,16.0,,,,,,,,
2024,17.0,85.34,HARD,monaco,VER,3337,17.0,,,,,,,,
2024,18.0,85.469,HARD,monaco,VER,3337,18.0,,,,,,,,
2024,19.0,85.537,HARD,monaco,VER,3337,19.0,,,,,,,,
2024,20.0,85.559,HARD,monaco,VER,3337,20.0,,,,,,,,
2024,21.0,85.381,HARD,monaco,VER,3337,21.0,,,,,,,,
2024,24.0,83.545,HARD,monaco,VER,3337,2.0,,,,,,,,
2024,25.0,83.801,HARD,monaco,VER,3337,3.0,,,,,,,,
2024,26.0,83.618,HARD,monaco,VER,3337,4.0,,,,,,,,
2024,27.0,83.524,HARD,monaco,VER,3337,5.0,,,,,,,,
2024,28.0,83.509,HARD,monaco,VER,3337,6.0,,,,,,,,
2024,29.0,83.452,HARD,monaco,VER,3337,7.0,,,,,,,,
2024,30.0,83.542,HARD,monaco,VER,3337,8.0,,,,,,,,
2024,31.0,83.424,HARD,monaco,VER,3337,9.0,,,,,,,,
2024,32.0,83.49,HARD,monaco,VER,3337,10.0,,,,,,,,
2024,33.0,83.621,HARD,monaco,VER,3337,11.0,,,,,,,,
2024,34.0,83.576,HARD,monaco,VER,3337,12.0,,,,,,,,
2024,35.0,83.589,HARD,monaco,VER,3337,13.0,,,,,,,,
2024,36.0,83.559,HARD,monaco,VER,3337,14.0,,,,,,,,
2024,37.0,83.485,HARD,monaco,VER,3337,15.0,,,,,,,,
2024,38.0,83.427,HARD,monaco,VER,3337,16.0,,,,,,,,
2024,39.0,83.501,HARD,monaco,VER,3337,17.0,,,,,,,,
2024,40.0,84.337,HARD,monaco,VER,3337,18.0,,,,,,,,
2024,43.0,81.745,MEDIUM,monaco,VER,3337,2.0,,,,,,,,
2024,44.0,83.045,MEDIUM,monaco,VER,3337,3.0,,,,,,,,
2024,45.0,83.363,MEDIUM,monaco,VER,3337,4.0,,,,,,,,
2024,46.0,82.941,MEDIUM,monaco,VER,3337,5.0,,,,,,,,
2024,47.0,82.52,MEDIUM,monaco,VER,3337,6.0,,,,,,,,
2024,48.0,82.57,MEDIUM,monaco,VER,3337,7.0,,,,,,,,
2024,49.0,82.584,MEDIUM,monaco,VER,3337,8.0,,,,,,,,
2024,50.0,82.585,MEDIUM,monaco,VER,3337,9.0,,,,,,,,
2024,51.0,82.574,MEDIUM,monaco,VER,3337,10.0,,,,,,,,
2024,52.0,82.92,MEDIUM,monaco,VER,3337,11.0,,,,,,,,
2024,53.0,83.711,MEDIUM,monaco,VER,3337,12.0,,,,,,,,
2024,2.0,86.411,HARD,monaco,PER,3337,2.0,,,,,,,,
2024,3.0,85.757,HARD,monaco,PER,3337,3.0,,,,,,,,
2024,4.0,85.805,HARD,monaco,PER,3337,4.0,,,,,,,,
2024,5.0,85.447,HARD,monaco,PER,3337,5.0,,,,,,,,
2024,6.0,85.105,HARD,monaco,PER,3337,6.0,,,,,,,,
2024,7.0,85.434,HARD,monaco,PER,3337,7.0,,,,,,,,
2024,8.0,85.186,HARD,monaco,PER,3337,8.0,,,,,,,,
2024,9.0,84.977,HARD,monaco,PER,3337,9.0,,,,,,,,
2024,10.0,84.841,HARD,monaco,PER,3337,10.0,,,,,,,,
2024,11.0,84.773,HARD,monaco,PER,3337,11.0,,,,,,,,
2024,12.0,84.654,HARD,monaco,PER,3337,12.0,,,,,,,,
2024,13.0,85.041,HARD,monaco,PER,3337,13.0,,,,,,,,
2024,14.0,85.229,HARD,monaco,PER,3337,14.0,,,,,,,,
2024,15.0,85.543,HARD,monaco,PER,3337,15.0,,,,,,,,
2024,16.0,85.434,HARD,monaco,PER,3337,16.0,,,,,,,,
2024,17.0,85.444,HARD,monaco,PER,3337,17.0,,,,,,,,
2024,18.0,85.448,HARD,monaco,PER,3337,18.0,,,,,,,,
2024,19.0,85.683,HARD,monaco,PER,3337,19.0,,,,,,,,
2024,20.0,86.111,HARD,monaco,PER,3337,20.0,,,,,,,,
2024,21.0,85.864,HARD,monaco,PER,3337,21.0,,,,,,,,
2024,22.0,85.709,HARD,monaco,PER,3337,22.0,,,,,,,,
2024,25.0,84.109,HARD,monaco,PER,3337,2.0,,,,,,,,
2024,26.0,83.975,HARD,monaco,PER,3337,3.0,,,,,,,,
2024,27.0,83.784,HARD,monaco,PER,3337,4.0,,,,,,,,
2024,28.0,83.598,HARD,monaco,PER,3337,5.0,,,,,,,,
2024,29.0,83.854,HARD,monaco,PER,3337,6.0,,,,,,,,
2024,30.0,83.474,HARD,monaco,PER,3337,7.0,,,,,,,,
2024,31.0,85.086,HARD,monaco,PER,3337,8.0,,,,,,,,
2024,32.0,83.825,HARD,monaco,PER,3337,9.0,,,,,,,,
2024,33.0,83.473,HARD,monaco,PER,3337,10.0,,,,,,,,
2024,34.0,83.611,HARD,monaco,PER,3337,11.0,,,,,,,,
2024,35.0,88.255,HARD,monaco,PER,3337,12.0,,,,,,,,
2024,37.0,83.291,MEDIUM,monaco,PER,3337,2.0,,,,,,,,
2024,38.0,86.243,MEDIUM,monaco,PER,3337,3.0,,,,,,,,
2024,39.0,83.707,MEDIUM,monaco,PER,3337,4.0,,,,,,,,
2024,40.0,83.393,MEDIUM,monaco,PER,3337,5.0,,,,,,,,
2024,41.0,83.267,MEDIUM,monaco,PER,3337,6.0,,,,,,,,
2024,42.0,83.908,MEDIUM,monaco,PER,3337,7.0,,,,,,,,
2024,43.0,84.537,MEDIUM,monaco,PER,3337,8.0,,,,,,,,
2024,44.0,83.617,MEDIUM,monaco,PER,3337,9.0,,,,,,,,
2024,45.0,83.033,MEDIUM,monaco,PER,3337,10.0,,,,,,,,
2024,46.0,82.996,MEDIUM,monaco,PER,3337,11.0,,,,,,,,
2024,47.0,82.971,MEDIUM,monaco,PER,3337,12.0,,,,,,,,
2024,48.0,83.315,MEDIUM,monaco,PER,3337,13.0,,,,,,,,
2024,49.0,83.612,MEDIUM,monaco,PER,3337,14.0,,,,,,,,
2024,50.0,83.39,MEDIUM,monaco,PER,3337,15.0,,,,,,,,
2024,51.0,83.415,MEDIUM,monaco,PER,3337,16.0,,,,,,,,
2024,52.0,84.071,MEDIUM,monaco,PER,3337,17.0,,,,,,,,
2024,53.0,84.511,MEDIUM,monaco,PER,3337,18.0,,,,,,,,
2024,1.0,87.623,MEDIUM,monaco,PIA,3337,1.0,,,,,,,,
2024,2.0,85.116,MEDIUM,monaco,PIA,3337,2.0,,,,,,,,
2024,3.0,85.261,MEDIUM,monaco,PIA,3337,3.0,,,,,,,,
2024,4.0,84.695,MEDIUM,monaco,PIA,3337,4.0,,,,,,,,
2024,5.0,84.66,MEDIUM,monaco,PIA,3337,5.0,,,,,,,,
2024,6.0,84.603,MEDIUM,monaco,PIA,3337,6.0,,,,,,,,
2024,7.0,84.418,MEDIUM,monaco,PIA,3337,7.0,,,,,,,,
2024,8.0,84.57,MEDIUM,monaco,PIA,3337,8.0,,,,,,,,
2024,9.0,84.375,MEDIUM,monaco,PIA,3337,9.0,,,,,,,,
2024,10.0,84.077,MEDIUM,monaco,PIA,3337,10.0,,,,,,,,
2024,11.0,84.247,MEDIUM,monaco,PIA,3337,11.0,,,,,,,,
2024,12.0,84.748,MEDIUM,monaco,PIA,3337,12.0,,,,,,,,
2024,13.0,84.67,MEDIUM,monaco,PIA,3337,13.0,,,,,,,,
2024,14.0,85.048,MEDIUM,monaco,PIA,3337,14.0,,,,,,,,
2024,15.0,85.166,MEDIUM,monaco,PIA,3337,15.0,,,,,,,,
2024,18.0,84.028,HARD,monaco,PIA,3337,2.0,,,,,,,,
2024,19.0,84.602,HARD,monaco,PIA,3337,3.0,,,,,,,,
2024,20.0,83.986,HARD,monaco,PIA,3337,4.0,,,,,,,,
2024,21.0,83.903,HARD,monaco,PIA,3337,5.0,,,,,,,,
2024,22.0,83.647,HARD,monaco,PIA,3337,6.0,,,,,,,,
2024,23.0,83.66,HARD,monaco,PIA,3337,7.0,,,,,,,,
2024,24.0,83.315,HARD,monaco,PIA,3337,8.0,,,,,,,,
2024,25.0,83.23,HARD,monaco,PIA,3337,9.0,,,,,,,,
2024,26.0,83.133,HARD,monaco,PIA,3337,10.0,,,,,,,,
2024,27.0,83.088,HARD,monaco,PIA,3337,11.0,,,,,,,,
2024,28.0,83.168,HARD,monaco,PIA,3337,12.0,,,,,,,,
2024,29.0,83.066,HARD,monaco,PIA,3337,13.0,,,,,,,,
2024,30.0,82.968,HARD,monaco,PIA,3337,14.0,,,,,,,,
2024,31.0,83.221,HARD,monaco,PIA,3337,15.0,,,,,,,,
2024,32.0,83.48,HARD,monaco,PIA,3337,16.0,,,,,,,,
2024,33.0,83.148,HARD,monaco,PIA,3337,17.0,,,,,,,,
2024,34.0,83.456,HARD,monaco,PIA,3337,18.0,,,,,,,,
2024,35.0,83.409,HARD,monaco,PIA,3337,19.0,,,,,,,,
2024,36.0,83.746,HARD,monaco,PIA,3337,20.0,,,,,,,,
2024,37.0,83.691,HARD,monaco,PIA,3337,21.0,,,,,,,,
2024,40.0,82.264,HARD,monaco,PIA,3337,2.0,,,,,,,,
2024,41.0,82.066,HARD,monaco,PIA,3337,3.0,,,,,,,,
2024,42.0,82.331,HARD,monaco,PIA,3337,4.0,,,,,,,,
2024,43.0,82.092,HARD,monaco,PIA,3337,5.0,,,,,,,,
2024,44.0,82.628,HARD,monaco,PIA,3337,6.0,,,,,,,,
2024,45.0,83.675,HARD,monaco,PIA,3337,7.0,,,,,,,,
2024,46.0,82.537,HARD,monaco,PIA,3337,8.0,,,,,,,,
2024,47.0,82.253,HARD,monaco,PIA,3337,9.0,,,,,,,,
2024,48.0,82.725,HARD,monaco,PIA,3337,10.0,,,,,,,,
2024,49.0,82.945,HARD,monaco,PIA,3337,11.0,,,,,,,,
2024,50.0,82.586,HARD,monaco,PIA,3337,12.0,,,,,,,,
2024,51.0,82.424,HARD,monaco,PIA,3337,13.0,,,,,,,,
2024,52.0,81.948,HARD,monaco,PIA,3337,14.0,,,,,,,,
2024,53.0,81.943,HARD,monaco,PIA,3337,15.0,,,,,,,,
2024,2.0,85.458,MEDIUM,monaco,NOR,3337,2.0,,,,,,,,
2024,3.0,85.11,MEDIUM,monaco,NOR,3337,3.0,,,,,,,,
2024,4.0,85.168,MEDIUM,monaco,NOR,3337,4.0,,,,,,,,
2024,5.0,84.674,MEDIUM,monaco,NOR,3337,5.0,,,,,,,,
2024,6.0,84.768,MEDIUM,monaco,NOR,3337,6.0,,,,,,,,
2024,7.0,84.531,MEDIUM,monaco,NOR,3337,7.0,,,,,,,,
2024,8.0,84.674,MEDIUM,monaco,NOR,3337,8.0,,,,,,,,
2024,9.0,84.664,MEDIUM,monaco,NOR,3337,9.0,,,,,,,,
2024,10.0,84.391,MEDIUM,monaco,NOR,3337,10.0,,,,,,,,
2024,11.0,84.448,MEDIUM,monaco,NOR,3337,11.0,,,,,,,,
2024,12.0,84.655,MEDIUM,monaco,NOR,3337,12.0,,,,,,,,
2024,13.0,85.359,MEDIUM,monaco,NOR,3337,13.0,,,,,,,,
2024,16.0,84.154,HARD,monaco,NOR,3337,2.0,,,,,,,,
2024,17.0,85.585,HARD,monaco,NOR,3337,3.0,,,,,,,,
2024,18.0,83.92,HARD,monaco,NOR,3337,4.0,,,,,,,,
2024,19.0,84.152,HARD,monaco,NOR,3337,5.0,,,,,,,,
2024,20.0,83.882,HARD,monaco,NOR,3337,6.0,,,,,,,,
2024,21.0,83.753,HARD,monaco,NOR,3337,7.0,,,,,,,,
2024,22.0,83.652,HARD,monaco,NOR,3337,8.0,,,,,,,,
2024,23.0,83.581,HARD,monaco,NOR,3337,9.0,,,,,,,,
2024,24.0,83.601,HARD,monaco,NOR,3337,10.0,,,,,,,,
2024,25.0,83.321,HARD,monaco,NOR,3337,11.0,,,,,,,,
2024,26.0,83.469,HARD,monaco,NOR,3337,12.0,,,,,,,,
2024,27.0,83.267,HARD,monaco,NOR,3337,13.0,,,,,,,,
2024,28.0,83.067,HARD,monaco,NOR,3337,14.0,,,,,,,,
2024,29.0,83.3,HARD,monaco,NOR,3337,15.0,,,,,,,,
2024,30.0,83.614,HARD,monaco,NOR,3337,16.0,,,,,,,,
2024,31.0,84.94,HARD,monaco,NOR,3337,17.0,,,,,,,,
2024,34.0,82.837,HARD,monaco,NOR,3337,2.0,,,,,,,,
2024,35.0,83.137,HARD,monaco,NOR,3337,3.0,,,,,,,,
2024,36.0,83.114,HARD,monaco,NOR,3337,4.0,,,,,,,,
2024,37.0,83.178,HARD,monaco,NOR,3337,5.0,,,,,,,,
2024,38.0,83.133,HARD,monaco,NOR,3337,6.0,,,,,,,,
2024,39.0,83.061,HARD,monaco,NOR,3337,7.0,,,,,,,,
2024,40.0,84.162,HARD,monaco,NOR,3337,8.0,,,,,,,,
2024,41.0,82.234,HARD,monaco,NOR,3337,9.0,,,,,,,,
2024,42.0,82.678,HARD,monaco,NOR,3337,10.0,,,,,,,,
2024,43.0,82.25,HARD,monaco,NOR,3337,11.0,,,,,,,,
2024,44.0,82.403,HARD,monaco,NOR,3337,12.0,,,,,,,,
2024,45.0,82.398,HARD,monaco,NOR,3337,13.0,,,,,,,,
2024,46.0,82.041,HARD,monaco,NOR,3337,14.0,,,,,,,,
2024,47.0,83.852,HARD,monaco,NOR,3337,15.0,,,,,,,,
2024,48.0,81.824,HARD,monaco,NOR,3337,16.0,,,,,,,,
2024,49.0,82.436,HARD,monaco,NOR,3337,17.0,,,,,,,,
2024,50.0,83.266,HARD,monaco,NOR,3337,18.0,,,,,,,,
2024,51.0,82.269,HARD,monaco,NOR,3337,19.0,,,,,,,,
2024,52.0,82.302,HARD,monaco,NOR,3337,20.0,,,,,,,,
2024,53.0,81.432,HARD,monaco,NOR,3337,21.0,,,,,,,,
2024,2.0,86.055,MEDIUM,monaco,RUS,3337,2.0,,,,,,,,
2024,3.0,85.733,MEDIUM,monaco,RUS,3337,3.0,,,,,,,,
2024,4.0,85.762,MEDIUM,monaco,RUS,3337,4.0,,,,,,,,
2024,5.0,85.494,MEDIUM,monaco,RUS,3337,5.0,,,,,,,,
2024,6.0,85.101,MEDIUM,monaco,RUS,3337,6.0,,,,,,,,
2024,7.0,85.046,MEDIUM,monaco,RUS,3337,7.0,,,,,,,,
2024,8.0,85.216,MEDIUM,monaco,RUS,3337,8.0,,,,,,,,
2024,9.0,85.115,MEDIUM,monaco,RUS,3337,9.0,,,,,,,,
2024,10.0,85.468,MEDIUM,monaco,RUS,3337,10.0,,,,,,,,
2024,13.0,84.546,HARD,monaco,RUS,3337,2.0,,,,,,,,
2024,14.0,84.548,HARD,monaco,RUS,3337,3.0,,,,,,,,
2024,15.0,84.56,HARD,monaco,RUS,3337,4.0,,,,,,,,
2024,16.0,84.692,HARD,monaco,RUS,3337,5.0,,,,,,,,
2024,17.0,84.546,HARD,monaco,RUS,3337,6.0,,,,,,,,
2024,18.0,84.521,HARD,monaco,RUS,3337,7.0,,,,,,,,
2024,19.0,84.706,HARD,monaco,RUS,3337,8.0,,,,,,,,
2024,20.0,85.504,HARD,monaco,RUS,3337,9.0,,,,,,,,
2024,21.0,84.626,HARD,monaco,RUS,3337,10.0,,,,,,,,
2024,22.0,84.711,HARD,monaco,RUS,3337,11.0,,,,,,,,
2024,23.0,84.624,HARD,monaco,RUS,3337,12.0,,,,,,,,
2024,24.0,84.621,HARD,monaco,RUS,3337,13.0,,,,,,,,
2024,25.0,85.174,HARD,monaco,RUS,3337,14.0,,,,,,,,
2024,26.0,83.575,HARD,monaco,RUS,3337,15.0,,,,,,,,
2024,27.0,83.732,HARD,monaco,RUS,3337,16.0,,,,,,,,
2024,28.0,83.383,HARD,monaco,RUS,3337,17.0,,,,,,,,
2024,29.0,83.516,HARD,monaco,RUS,3337,18.0,,,,,,,,
2024,30.0,83.177,HARD,monaco,RUS,3337,19.0,,,,,,,,
2024,31.0,85.331,HARD,monaco,RUS,3337,20.0,,,,,,,,
2024,32.0,83.542,HARD,monaco,RUS,3337,21.0,,,,,,,,
2024,35.0,82.944,HARD,monaco,RUS,3337,2.0,,,,,,,,
2024,36.0,83.333,HARD,monaco,RUS,3337,3.0,,,,,,,,
2024,37.0,83.158,HARD,monaco,RUS,3337,4.0,,,,,,,,
2024,38.0,85.166,HARD,monaco,RUS,3337,5.0,,,,,,,,
2024,39.0,83.142,HARD,monaco,RUS,3337,6.0,,,,,,,,
2024,40.0,82.886,HARD,monaco,RUS,3337,7.0,,,,,,,,
